Stage 4 Pd-vs-SNR CA-CFAR Monte Carlo
Mode: full
Trials: 200
Echo SNR axis dB: -40, -38, -36, -34, -32, -30, -28, -26, -24, -22, -20, -18, -16, -14, -12, -10, -8, -6, -4, -2, 0
No RIS model: blocked NLOS baseline with zero target echo amplitude
SNR reference: optimized RIS noiseless beat-signal average sample power
full  | SNR  -40.0 dB |  99/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB | 100/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB | 101/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 102/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 103/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 104/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 105/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 106/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 107/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 108/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 109/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 110/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 111/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 112/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 113/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 114/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 115/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 116/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.002/0.002/0.002
full  | SNR  -40.0 dB | 117/200 | noise 1.610e-05 W | hits N/R/O 1/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 118/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 119/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 120/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 121/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 122/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 123/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 124/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 125/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 126/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 127/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 128/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 129/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 130/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 131/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 132/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 133/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 134/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 135/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 136/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 137/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 138/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 139/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 140/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 141/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 142/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.004/0.002/0.002
full  | SNR  -40.0 dB | 143/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 144/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 145/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 146/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 147/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 148/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 149/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 150/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 151/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 152/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 153/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 154/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 155/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 156/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 157/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 158/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 159/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 160/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 161/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 162/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 163/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 164/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 165/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 166/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.002/0.002
full  | SNR  -40.0 dB | 167/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 168/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 169/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 170/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 171/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 172/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 173/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 174/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
full  | SNR  -40.0 dB | 175/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.001/0.001
